Titulo,Director,Productor,Año,Duracion_Min,Calificacion,Tipo_Duracion
Castle in the Sky,Hayao Miyazaki,Isao Takahata,1986,124,95,Larga
Grave of the Fireflies,Isao Takahata,Toru Hara,1988,89,97,Corta
My Neighbor Totoro,Hayao Miyazaki,Hayao Miyazaki,1988,86,93,Corta
Kiki's Delivery Service,Hayao Miyazaki,Hayao Miyazaki,1989,102,96,Media
Only Yesterday,Isao Takahata,Toshio Suzuki,1991,118,100,Media
Porco Rosso,Hayao Miyazaki,Toshio Suzuki,1992,93,94,Media
Pom Poko,Isao Takahata,Toshio Suzuki,1994,119,78,Media
Whisper of the Heart,Yoshifumi Kondō,Toshio Suzuki,1995,111,91,Media
Princess Mononoke,Hayao Miyazaki,Toshio Suzuki,1997,134,92,Larga
My Neighbors the Yamadas,Isao Takahata,Toshio Suzuki,1999,104,75,Media
Spirited Away,Hayao Miyazaki,Toshio Suzuki,2001,124,97,Larga
The Cat Returns,Hiroyuki Morita,Toshio Suzuki,2002,75,89,Corta
Howl's Moving Castle,Hayao Miyazaki,Toshio Suzuki,2004,119,87,Media
Tales from Earthsea,Gorō Miyazaki,Toshio Suzuki,2006,116,41,Media
Ponyo,Hayao Miyazaki,Toshio Suzuki,2008,100,92,Media
Arrietty,Hiromasa Yonebayashi,Toshio Suzuki,2010,94,95,Media
From Up on Poppy Hill,Gorō Miyazaki,Toshio Suzuki,2011,91,83,Media
The Wind Rises,Hayao Miyazaki,Toshio Suzuki,2013,126,89,Larga
The Tale of the Princess Kaguya,Isao Takahata,Yoshiaki Nishimura,2013,137,100,Larga
When Marnie Was There,Hiromasa Yonebayashi,Yoshiaki Nishimura,2014,103,92,Media
The Red Turtle,Michaël Dudok de Wit,"Toshio Suzuki, Isao Takahata, Vincent Maraval, Pascal Caucheteux, Grégoire Sorlat",2016,80,93,Corta
Earwig and the Witch,Gorō Miyazaki,Toshio Suzuki,2021,82,30,Corta
